league,season,match_id,isResult,home_id,home_team,home_abbr,away_id,away_team,away_abbr,home_goals,away_goals,home_xG,away_xG,datetime,forecast_win,forecast_draw,forecast_loss
EPL,2021/2022,16510,TRUE,81,West Ham,WHU,220,Brighton,BRI,1,1,1.14679,1.2607,2021-12-01 19:30:00,0.3108,0.3198,0.3694
EPL,2021/2022,16511,TRUE,229,Wolverhampton Wanderers,WOL,92,Burnley,BUR,0,0,0.711691,0.195537,2021-12-01 19:30:00,0.4555,0.4569,0.0876
EPL,2021/2022,16514,TRUE,74,Southampton,SOU,75,Leicester,LEI,2,2,1.91169,1.4401,2021-12-01 19:30:00,0.4988,0.2516,0.2496
EPL,2021/2022,16506,TRUE,71,Aston Villa,AVL,88,Manchester City,MCI,1,2,0.772083,1.01897,2021-12-01 20:15:00,0.2603,0.3452,0.3945
EPL,2021/2022,16507,TRUE,72,Everton,EVE,87,Liverpool,LIV,1,4,0.512263,2.86067,2021-12-01 20:15:00,0.0212,0.0752,0.9036
EPL,2021/2022,16515,TRUE,82,Tottenham,TOT,244,Brentford,BRE,2,0,2.07248,0.225492,2021-12-02 19:30:00,0.8964,0.09,0.0136
EPL,2021/2022,16512,TRUE,89,Manchester United,MUN,83,Arsenal,ARS,3,2,1.85597,1.16638,2021-12-02 20:15:00,0.5558,0.2561,0.1881
EPL,2021/2022,16524,TRUE,81,West Ham,WHU,80,Chelsea,CHE,3,2,2.0174,1.37049,2021-12-04 12:30:00,0.5469,0.238,0.2151
EPL,2021/2022,16520,TRUE,86,Newcastle United,NEW,92,Burnley,BUR,1,0,1.70609,0.604599,2021-12-04 15:00:00,0.6761,0.2236,0.1003
EPL,2021/2022,16521,TRUE,74,Southampton,SOU,220,Brighton,BRI,1,1,1.34236,1.4872,2021-12-04 15:00:00,0.3101,0.2802,0.4097
EPL,2021/2022,16525,TRUE,229,Wolverhampton Wanderers,WOL,87,Liverpool,LIV,0,1,0.095167,2.42332,2021-12-04 15:00:00,0.005,0.0531,0.9419
EPL,2021/2022,16523,TRUE,90,Watford,WAT,88,Manchester City,MCI,1,3,0.675105,4.03223,2021-12-04 17:30:00,0.0142,0.0375,0.9483
EPL,2021/2022,16518,TRUE,245,Leeds,LED,244,Brentford,BRE,2,2,1.41896,1.19959,2021-12-05 14:00:00,0.4119,0.3026,0.2855
EPL,2021/2022,16519,TRUE,89,Manchester United,MUN,78,Crystal Palace,CRY,1,0,0.870376,0.520593,2021-12-05 14:00:00,0.4144,0.379,0.2066
EPL,2021/2022,16522,TRUE,82,Tottenham,TOT,79,Norwich,NOR,3,0,2.00668,1.06562,2021-12-05 14:00:00,0.6123,0.2365,0.1512
EPL,2021/2022,16516,TRUE,71,Aston Villa,AVL,75,Leicester,LEI,2,1,1.84818,0.982614,2021-12-05 16:30:00,0.6012,0.2298,0.169
EPL,2021/2022,16517,TRUE,72,Everton,EVE,83,Arsenal,ARS,2,1,1.06108,1.05723,2021-12-06 20:00:00,0.3397,0.3172,0.3431
EPL,2021/2022,16527,TRUE,244,Brentford,BRE,90,Watford,WAT,2,1,1.82799,0.561554,2021-12-10 20:00:00,0.7457,0.1892,0.0651
EPL,2021/2022,16534,TRUE,88,Manchester City,MCI,229,Wolverhampton Wanderers,WOL,1,0,2.99915,0.0762839,2021-12-11 12:30:00,0.9707,0.0277,0.0016
EPL,2021/2022,16526,TRUE,83,Arsenal,ARS,74,Southampton,SOU,3,0,2.08429,0.502215,2021-12-11 15:00:00,0.7915,0.1533,0.0552
EPL,2021/2022,16530,TRUE,80,Chelsea,CHE,245,Leeds,LED,3,2,2.74844,1.72934,2021-12-11 15:00:00,0.6283,0.22,0.1517
EPL,2021/2022,16533,TRUE,87,Liverpool,LIV,71,Aston Villa,AVL,1,0,2.71181,0.140573,2021-12-11 15:00:00,0.9577,0.0381,0.0042
EPL,2021/2022,16535,TRUE,79,Norwich,NOR,89,Manchester United,MUN,0,1,0.986107,2.09817,2021-12-11 17:30:00,0.1146,0.1998,0.6856
EPL,2021/2022,16529,TRUE,92,Burnley,BUR,81,West Ham,WHU,0,0,0.54801,0.998813,2021-12-12 14:00:00,0.1882,0.3477,0.4641
EPL,2021/2022,16532,TRUE,75,Leicester,LEI,86,Newcastle United,NEW,4,0,2.05771,0.511934,2021-12-12 14:00:00,0.8223,0.1348,0.0429
EPL,2021/2022,16531,TRUE,78,Crystal Palace,CRY,72,Everton,EVE,3,1,2.09864,1.27556,2021-12-12 16:30:00,0.5877,0.2329,0.1794
EPL,2021/2022,16541,TRUE,79,Norwich,NOR,71,Aston Villa,AVL,0,2,0.502647,1.96261,2021-12-14 19:45:00,0.0307,0.1634,0.8059
EPL,2021/2022,16545,TRUE,88,Manchester City,MCI,245,Leeds,LED,7,0,3.31349,0.227498,2021-12-14 20:00:00,0.9625,0.0336,0.0039
EPL,2021/2022,16538,TRUE,220,Brighton,BRI,229,Wolverhampton Wanderers,WOL,0,1,1.20118,1.11736,2021-12-15 19:30:00,0.3704,0.3352,0.2944
EPL,2021/2022,16542,TRUE,78,Crystal Palace,CRY,74,Southampton,SOU,2,2,1.49244,0.625183,2021-12-15 19:30:00,0.6182,0.2522,0.1296
EPL,2021/2022,16536,TRUE,83,Arsenal,ARS,81,West Ham,WHU,2,0,2.81482,0.338855,2021-12-15 20:00:00,0.9307,0.0568,0.0125
